最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
1.05,73.1,A-极佳,全天候/牛市可/震荡优,63.1,30,25,4.1,9.0,5,025949,诺安研究精选股票C,商业航天/军工,2025-11-28 ~ 2026-03-20,73,18.22,78.2,28.89,140.14,-10.67,3.46,18.79,2026-01-12,2026-03-20,43,4.51,22.63,2.016,8.16,-8.01,45.1,2,4,50.0,60.0,973.1,-28.7,33.91,537.83,-36.04,1408.37,1408.37,-36.04,2,2,20.4,95.9,4.1,27.0,27,27,1888.8,11354.93,466.95,11821.88,1,10.4,26.48,0,0,0,1,7.09,1.9,0,70,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0,-36.04,-36.04,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,537.83,537.83,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,1408.37,1408.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-21.36,-21.36,0,0,0,0
0.8,74.7,A-极佳,全天候/牛市可/震荡优,70.3,30,22.9,5.6,11.2,5,025647,平安高端装备混合发起式C,商业航天/军工,2025-12-03 ~ 2026-03-20,70,16.85,75.15,23.96,116.67,-7.11,5.78,20.27,2026-01-12,2026-03-20,43,3.72,13.0,2.014,10.85,-6.7,52.9,2,15,73.3,75.0,173.01,-41.87,4.13,0.34,-40.68,412.47,1320.91,-62.1,4,11,27.8,98.6,1.4,29.0,29,29,1735.59,11272.16,412.47,11684.63,1,13.67,30.38,0,0,0,1,2.79,-4.93,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100.0,1903.05,190.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-167.47,-41.87,0,0,0,0
0.93,73.9,,,66.7,30.0,23.95,4.85,10.1,5.0,---,【商业航天/军工】平均,商业航天/军工,,,17.54,76.68,26.43,128.41,-8.89,4.62,19.53,,,43.0,4.12,17.81,2.01,9.5,-7.36,49.0,2.0,9.5,61.65,67.5,573.06,-35.28,16.24,269.09,-38.36,910.42,1364.64,-49.07,3.0,6.5,24.1,97.25,2.75,28.0,28.0,28.0,1812.19,,,11753.25,1.0,12.04,28.43,0.0,0.0,0.0,1.0,4.94,-1.51,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,-18.02,-36.04,0.5,100.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.0,268.92,537.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,100.0,1655.71,301.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-94.42,-37.77,0.0,0.0,0.0,0.0
0.85,78.1,A-极佳,全天候/牛市可/震荡优,173.8,30,20.0,9.1,9.0,10,025693,南方中证通用航空主题ETF发起联接C,商业航天,2025-11-28 ~ 2026-03-20,73,28.76,139.33,16.55,69.65,12.21,9.41,23.5,2026-01-12,2026-03-20,43,3.97,14.81,1.726,7.22,-6.83,49.4,4,8,37.5,60.0,1170.15,-44.77,26.14,-25.52,-72.88,2480.08,2480.08,-72.88,5,3,45.3,95.9,4.1,27.0,27,27,3286.61,9556.55,3319.7,12876.25,1,21.42,26.51,0,0,0,1,6.05,-7.88,0,72,1,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0.0,-223.85,-44.77,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,275.83,275.83,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0,3234.63,1617.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,84.7,A-极佳,全天候/熊市优/牛市可,105.9,30,24.0,8.7,12.0,10,025491,平安中证卫星产业指数C,商业航天,2025-11-12 ~ 2026-03-20,85,20.26,72.78,19.13,68.01,1.13,6.24,26.07,2026-01-12,2026-03-20,43,3.35,11.67,1.917,8.53,-8.31,44.9,5,9,44.4,80.0,646.87,-66.03,9.8,-34.39,-108.55,1182.26,1182.26,-108.55,5,4,43.4,97.6,2.4,24.5,27,27,2257.3,10136.98,1888.63,12025.61,1,19.75,35.25,1,0.42,-11.92,0,0,0,0,79,6,0,0,0,0,1,5,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0.0,-330.17,-66.03,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0,1357.23,678.62,0,0,0,0,1,100.0,712.45,712.45,0,0,0,0,1,100.0,517.79,517.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,78.9,A-极佳,全天候/牛市可/震荡优,100.0,30,22.0,8.3,8.6,10,024913,华夏国证通用航空产业ETF发起式联接C,商业航天,2025-09-12 ~ 2026-03-20,122,15.65,35.02,3.7,7.79,11.95,6.19,19.27,2026-01-12,2026-03-20,43,2.07,5.66,1.437,5.23,-6.45,55.8,6,15,86.7,57.1,132.82,-23.61,5.63,12.5,-21.63,552.92,591.16,-25.59,2,13,41.6,100.0,0.0,50.7,38,79,1679.41,10781.77,782.93,11564.7,1,11.1,12.26,0,0,0,1,4.1,-7.63,0,121,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.0,-21.63,-21.63,0,0,0,0,0,0,0,0,0,0,0,0,3,100.0,189.7,63.23,0,0,0,0,10,100.0,1536.93,153.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-25.59,-25.59,0,0,0,0
0.9,80.5,A-极佳,全天候/牛市可/震荡优,93.9,30,22.4,6.1,12.0,10,025733,华安国证航天航空行业ETF发起式联接C,商业航天,2025-11-20 ~ 2026-03-20,79,10.1,35.9,10.76,38.55,-0.66,6.05,19.84,2026-01-12,2026-03-20,43,2.74,5.94,1.579,4.59,-6.94,47.9,4,5,60.0,80.0,483.75,-29.85,16.21,110.4,-33.35,1038.77,1038.77,-33.35,2,3,30.5,100.0,0.0,36.0,36,36,1391.56,7589.36,3420.14,11009.5,1,9.04,20.09,0,0,0,1,0.97,-7.77,0,78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,-33.35,-33.35,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,110.4,110.4,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0,1340.86,670.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-26.35,-26.35,0,0,0,0
0.95,76.4,A-极佳,全天候/牛市可/震荡优,215.3,30,19.2,9.7,7.5,10,024689,富国国证通用航空产业ETF发起式联接C,商业航天,2025-08-14 ~ 2026-03-20,143,15.33,28.57,7.12,12.89,8.21,7.9,18.3,2026-01-12,2026-03-20,76,1.65,3.62,1.374,6.43,-6.23,56.9,6,15,80.0,50.0,174.95,-92.49,1.89,0.92,-84.06,729.25,937.47,-119.75,3,12,48.5,100.0,0.0,59.0,42,100,1821.9,9603.7,1928.93,11532.63,1,11.4,13.23,0,0,0,1,3.52,-5.4,0,142,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,0,5,0,5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0.0,-157.72,-78.86,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0,1211.7,605.85,0,0,0,0,5,100.0,875.3,175.06,0,0,0,0,5,100.0,12.37,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-119.75,-119.75,0,0,0,0
1.25,77.9,A-极佳,震荡优,63.2,30,23.8,6.0,8.1,10,019144,东财景气驱动C,商业航天,2024-04-15 ~ 2026-03-20,469,41.6,20.55,65.85,31.24,-24.25,6.77,27.33,2025-09-25,2025-12-23,192,1.39,3.04,1.357,11.57,-9.24,49.2,9,77,61.0,54.2,99.04,-20.61,4.81,0.05,-11.1,134.94,1772.29,-142.32,18,14,29.8,99.4,0.6,34.5,22,99,4160.05,14157.12,2.46,14159.58,3,26.39,68.73,0,0,0,2,11.48,-10.19,0,456,13,0,2,4,0,0,19,0,0,0,0,0,0,0,2,0,1,1,6,0,16,0,24,1,1,0,1,1,3,1,0,2,1,0,0,4,100.0,11.23,2.81,19,0.0,-250.02,-13.16,0,0,0,0,1,100.0,3.23,3.23,1,100.0,0.08,0.08,6,83.3,1808.09,301.35,0,0,0,0,16,100.0,1643.31,102.71,0,0,0,0,24,79.2,1188.73,49.53,1,0.0,-0.26,-0.26,0,0,0,0,1,0.0,-142.32,-142.32,1,0.0,-99.71,-99.71,2,0.0,-2.36,-1.18,1,100.0,0.05,0.05
1.15,75.9,A-极佳,全天候/牛市可/震荡优,113.9,30,23.6,5.6,6.7,10,024349,中欧国证通用航空产业指数发起C,商业航天,2025-07-24 ~ 2026-03-20,158,8.05,13.14,7.07,11.52,0.98,4.91,19.22,2025-08-29,2025-11-21,77,1.56,2.68,1.34,5.9,-6.32,56.6,4,10,80.0,44.4,111.93,-3.16,35.42,26.69,-2.91,527.08,527.08,-3.4,2,8,28.1,96.2,3.8,52.0,89,89,889.09,10266.95,537.89,10804.84,1,6.27,15.53,0,0,0,1,1.68,-7.32,0,157,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,-2.91,-2.91,0,0,0,0,0,0,0,0,3,100.0,125.92,41.97,2,100.0,225.75,112.88,1,100.0,1.1,1.1,1,100.0,15.55,15.55,0,0,0,0,1,100.0,527.08,527.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-3.4,-3.4,0,0,0,0
